"","x"
"1",52.7771102327636
"2",16.4899190579202
"3",13.9197866701078
"4",6.53374602473326
"5",4.38973186025906
"6",1.57176877757632
"7",1.2733281799059
"8",0.423319449515767
"9",0.344855864109658
"10",0.265569605341925
"11",0.218865512384361
"12",0.209883232772686
"13",0.207821047147313
"14",0.18714500911902
"15",0.173243934595126
"16",0.131134089819729
"17",0.125083082691726
"18",0.112923553703999
"19",0.112036263746213
"20",0.105429337192547
"21",0.10318506640611
"22",0.0995645599912568
"23",0.0877122345875074
"24",0.0760018882999009
"25",0.0608354653089845
