"","x"
"1",55.3286418074256
"2",17.1813590753189
"3",12.9633057081828
"4",5.97442912974059
"5",4.52981561593101
"6",1.15442691075761
"7",1.05099483051838
"8",0.305687614557127
"9",0.285452284045489
"10",0.141751642820067
"11",0.131527057758469
"12",0.11484475133258
"13",0.108737458965547
"14",0.0978545282623696
"15",0.0854796013721811
"16",0.0808531975905433
"17",0.0788399869709524
"18",0.063419562981566
"19",0.0595156817331152
"20",0.0594187571983821
"21",0.0523363158949262
"22",0.0485244600309371
"23",0.0383295381627491
"24",0.0360089562902375
"25",0.0284455261578587
