"","x"
"1",55.4612610266756
"2",17.0607937856463
"3",12.7523135154296
"4",6.47114149078562
"5",4.6390729822345
"6",1.11191265942099
"7",0.997669747147073
"8",0.25984616046587
"9",0.243956138592272
"10",0.127907272283902
"11",0.125885728463376
"12",0.102282485400514
"13",0.0887986829534453
"14",0.0818707968977413
"15",0.0622049495693966
"16",0.0570862458264775
"17",0.0541061676248627
"18",0.049399087408383
"19",0.0435305708476382
"20",0.040518991701272
"21",0.0400745863594432
"22",0.0347844984997426
"23",0.0331400903713144
"24",0.0318005723286102
"25",0.0286417670660939
