"","x"
"1",55.4341276891572
"2",17.0785211353855
"3",12.8360108653409
"4",6.3936767561054
"5",4.54987697232981
"6",1.1039360369003
"7",1.04999757717392
"8",0.264389505491768
"9",0.241628385662735
"10",0.129380777163881
"11",0.125180553888969
"12",0.107852420686453
"13",0.0932509040177955
"14",0.0881454344896244
"15",0.0624621455476807
"16",0.0597922953731477
"17",0.0574087114900007
"18",0.0564136822929341
"19",0.0487612927489005
"20",0.0484249023048438
"21",0.0391842522656312
"22",0.0360671288189809
"23",0.0332524612382942
"24",0.0323273347062684
"25",0.0299307794190146
