"","x"
"1",55.5286500883857
"2",16.9116594254861
"3",12.8967251440301
"4",6.41962474957251
"5",4.53620018203156
"6",1.11023949368078
"7",1.05875337930958
"8",0.276084614357294
"9",0.246425767657108
"10",0.128160146933635
"11",0.126877972961152
"12",0.108104846314344
"13",0.0887676787384728
"14",0.0796881021906557
"15",0.0667109413466271
"16",0.0575328480549059
"17",0.0564140866797495
"18",0.0500879023599079
"19",0.0500005768287126
"20",0.0427991626472725
"21",0.0421252008328247
"22",0.0326296681504708
"23",0.0313162977042674
"24",0.0300217358209297
"25",0.0243999879253564
