"","x"
"1",51.0366505157969
"2",14.0943498014846
"3",11.6600247616126
"4",7.78705330429735
"5",4.8956261010811
"6",2.64477994067457
"7",2.32725828659636
"8",0.608213683747685
"9",0.597180670444197
"10",0.524775968991918
"11",0.523273643021012
"12",0.410426560357272
"13",0.389622822124259
"14",0.325394547114491
"15",0.29147561830012
"16",0.286820769957329
"17",0.231869485590966
"18",0.226763003836193
"19",0.225874568877227
"20",0.211077344468875
"21",0.188226624940493
"22",0.151993546663722
"23",0.145861350302908
"24",0.133680986037082
"25",0.0817260936807414
