"","x"
"1",54.6208113287784
"2",17.0989725713009
"3",13.2282403493295
"4",6.3798032998713
"5",4.61380884927358
"6",1.09588263664089
"7",1.04335246372243
"8",0.318493940394022
"9",0.252636703009953
"10",0.176070696478202
"11",0.147258643522947
"12",0.136525355956545
"13",0.102946930808522
"14",0.0948443524848143
"15",0.0940445737521167
"16",0.0861850317279359
"17",0.0753578471467432
"18",0.0749273405472319
"19",0.0714131078263571
"20",0.067175678685606
"21",0.058740754937715
"22",0.0544890920178982
"23",0.0485898726460426
"24",0.0302180708815222
"25",0.0292105082588311
